"DISPATCH UNITS",LOCATION,TYPE,ADDRESS,CITY,"CREATE DATE"
E48,"851 RYAN CT, GILROY, CA, 95020",MEDICF,"851 RYAN CT",Gilroy,"2025-10-10 21:22"
E47,"305 BLOOMFIELD AVE, GILROY, CA, 95020",AUTOAM,"305 BLOOMFIELD AV","Santa Clara County","2026-03-26 16:55"
E49,"9270 RANCHO HILLS DR, GILROY, CA, 95020",MEDICF,"9270 RANCHO HILLS DR",Gilroy,"2026-03-07 19:39"
E47,,MEDICF,"325 W EIGHTH ST",Gilroy,"2024-07-31 06:42"
E48,"8391 GLENWOOD DR, GILROY, CA, 95020",MEDICF,"8391 GLENWOOD DR",Gilroy,"2024-11-12 02:40"
E47,,MEDICF,"162 W TENTH ST",Gilroy,"2024-12-17 02:22"
E47,"7705 MURRAY AVE, GILROY, CA, 95020",ODF,"7705 MURRAY AV",Gilroy,"2024-09-23 02:19"
E48,,1033SD,"7257 MONTEREY ST",Gilroy,"2025-02-09 10:40"
"E50, E47",,AUTOAVA,"POLELINE/HECKER PASS","Santa Clara County","2025-11-18 21:03"
E48,,AUTOAV,"US HWY 101/HWY 25","Santa Clara County","2024-07-15 16:46"
E47,,MEDICF,"651 W SIXTH ST",Gilroy,"2025-10-21 17:19"
"E47, RM49","7230 YORKTOWN DR, GILROY, CA, 95020",1181F,"7230 YORKTOWN DR",Gilroy,"2026-04-04 22:15"
"B57, B50, E169, E47, E48, E49","101 LEAVESLEY RD, GILROY, CA, 95020",FIRES,"101 LEAVESLEY RD",Gilroy,"2025-03-20 18:36"
E47,,SMOKE,"LEWIS ST/CHESTNUT ST",Gilroy,"2026-03-24 07:21"
"B48, E48",,AUTOAVA,"US HWY 101/HWY 25","Santa Clara County","2025-05-28 10:35"
"E47, B49, E49",,1033GF,"200 E TENTH ST",Gilroy,"2025-11-15 20:19"
"E47, E650",,FIREOF,"US HWY 101/MONTEREY RD ON 101S RP",Gilroy,"2024-10-31 00:12"
E48,"7150 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7150 CAMINO ARROYO",Gilroy,"2026-07-14 12:09"
"E49, RM49","7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2026-02-27 18:33"
E47,,FIREF,"E SIXTH ST/ROGERS LN",Gilroy,"2025-02-14 18:14"
E47,,AUTOAV,"HWY 25/BOLSA RD","Santa Clara County","2026-06-12 19:51"
E48,"181 PIERCE ST, GILROY, CA, 95020",MEDICF,"181 PIERCE ST",Gilroy,"2025-01-31 11:45"
E48,"375 LEAVESLEY RD, GILROY, CA, 95020",MEDICF,"375 LEAVESLEY RD",Gilroy,"2026-06-14 20:59"
E47,,MEDICF,"E SIXTH ST/MONTEREY ST",Gilroy,"2026-02-23 19:49"
RM49,"1311 W LUCHESSA AVE, GILROY, CA, 95020",1033GF,"1311 W LUCHESSA AV",Gilroy,"2026-04-05 21:28"
E48,"8555 SAN YSIDRO AVE, GILROY, CA, 95020",VEHF,"8555 SAN YSIDRO AV",Gilroy,"2026-03-21 03:01"
E49,"9727 LAREDO WAY, GILROY, CA, 95020",MEDICF,"9727 LAREDO WY",Gilroy,"2024-11-12 03:41"
E49,,PSLIFT,"651 W SIXTH ST",Gilroy,"2025-02-09 10:51"
E48,"8300 KERN AVE, GILROY, CA, 95020",MEDICF,"8300 KERN AV",Gilroy,"2025-05-15 22:19"
"E68, RM49, E69","2330 CLUB DR, GILROY, CA, 95020",MEDICF,"2330 CLUB DR",Gilroy,"2026-05-06 20:54"
E48,,MEDICF,"7750 WREN AV",Gilroy,"2024-06-30 19:40"
E47,,MEDICF,"CHESTNUT ST/E TENTH ST",Gilroy,"2024-12-04 17:05"
"B47, E47, E68",,AUTOA,"US HWY 101/LEAVESLEY RD",Gilroy,"2026-05-16 20:09"
E47,"6290 MONTEREY RD, GILROY, CA, 95020",AAF,"6290 MONTEREY RD",Gilroy,"2024-11-24 00:43"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2026-06-21 21:10"
E650,,FIREF,"1450 VINADOR PL",Gilroy,"2024-06-17 17:46"
E48,,MEDICF,"FIRST ST/WREN AV",Gilroy,"2025-10-30 20:54"
E48,"8135 LAS ANIMAS CT, GILROY, CA, 95020",MEDICF,"8135 LAS ANIMAS CT",Gilroy,"2026-04-02 21:04"
E47,,MEDICF,"200 E TENTH ST",Gilroy,"2026-01-23 00:08"
E650,,MEDICF,"7000 MONTEREY ST",Gilroy,"2024-07-15 17:31"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2025-05-15 13:00"
E49,"7610 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7610 ISABELLA WY",Gilroy,"2024-06-17 18:07"
E49,,AUTOAM,"1640 DORAL CT","Santa Clara County","2025-04-07 10:21"
E48,"1375 CYPRESS CT, GILROY, CA, 95020",ODOR,"1375 CYPRESS CT",Gilroy,"2026-05-14 15:13"
"E48, E49, E47, RM49, B47",,VEGF,"MONTEREY RD/TRAVEL PARK CI",Gilroy,"2026-06-02 12:11"
E47,,MEDICF,"W SEVENTH ST/RXR",Gilroy,"2026-03-04 20:26"
E47,"7230 FOREST ST, GILROY, CA, 95020",MEDICF,"7230 FOREST ST",Gilroy,"2025-02-23 02:21"
E49,"1700 COLONY CT, GILROY, CA, 95020",PSLIFT,"1700 COLONY CT",Gilroy,"2026-05-28 19:32"
E47,,MEDICF,"7301 HANNA ST",Gilroy,"2025-02-09 11:29"
E49,"85 BENNETT CT, GILROY, CA, 95020",1056AF,"85 BENNETT CT",Gilroy,"2026-02-15 20:00"
E48,"681 LEAVESLEY RD, GILROY, CA, 95020",MEDICF,"681 LEAVESLEY RD",Gilroy,"2026-05-23 18:18"
"E49, B50",,AUTOAVA,"US HWY 101/HWY 25","Santa Clara County","2025-02-09 11:29"
E48,"277 IOOF AVE, GILROY, CA, 95020",MEDICF,"277 IOOF AV",Gilroy,"2026-05-07 21:38"
E48,"8170 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8170 MURRAY AV",Gilroy,"2025-05-07 14:47"
E48,"767 EL CERRITO WAY, GILROY, CA, 95020",MEDICF,"767 EL CERRITO WY",Gilroy,"2025-05-28 10:53"
"E48, B47, RM49, E49","9420 TRAILBLAZER WAY, GILROY, CA, 95020",GASIF,"9420 TRAILBLAZER WY",Gilroy,"2026-05-18 21:19"
E47,"5530 MONTEREY RD, GILROY, CA, 95020",MEDICF,"5530 MONTEREY RD",Gilroy,"2024-10-05 08:42"
E47,,MEDICF,"550 E EIGHTH ST",Gilroy,"2025-06-17 04:03"
E48,"8101 KELTON DR, GILROY, CA, 95020",MEDICF,"8101 KELTON DR",Gilroy,"2024-10-18 13:20"
E47,,MEDICF,"7000 MONTEREY ST",Gilroy,"2025-05-07 18:00"
"RM49, E47, E49",,MEDICF,"THIRD ST/SANTA TERESA BL",Gilroy,"2026-05-19 21:37"
E50,"1520 HECKER PASS RD APT 1102, GILROY, CA, 95025",EXTFIR,"1520 HECKER PASS RD",Gilroy,"2026-07-14 16:07"
E48,"197 WELBURN AVE, GILROY, CA, 95020",MEDICF,"197 WELBURN AV",Gilroy,"2025-06-17 09:14"
E48,"930 THIRD ST, GILROY, CA, 95020",MEDICF,"930 THIRD ST",Gilroy,"2026-05-14 21:40"
"E49, E650",,MEDICF,"651 W SIXTH ST",Gilroy,"2025-05-28 11:10"
E48,"1010 SAN MIGUEL ST, GILROY, CA, 95020",MEDICF,"1010 SAN MIGUEL ST",Gilroy,"2025-06-17 18:08"
E47,"370 WALNUT LN, GILROY, CA, 95020",MEDICF,"370 WALNUT LN",Gilroy,"2025-06-17 07:38"
E48,,MEDICF,"905 FIRST ST",Gilroy,"2026-03-01 18:32"
E47,"6870 GLENVIEW DR, GILROY, CA, 95020",MEDICF,"6870 GLENVIEW DR",Gilroy,"2026-05-16 19:00"
E48,"9125 DESIDERIO WAY, GILROY, CA, 95020",MEDICF,"9125 DESIDERIO WY",Gilroy,"2026-05-11 15:23"
"E169, E48, B47, E47, E49, B57, E2614","9400 NO NAME UNO, GILROY, CA, 95020",1033GF,"9400 NO NAME UNO",Gilroy,"2025-06-17 10:00"
B47,"7070 CHESTNUT ST, GILROY, CA, 95020",FMIS,"7070 CHESTNUT ST",Gilroy,"2025-03-07 00:08"
E147,,MEDICF,"6800 CAMINO ARROYO",Gilroy,"2025-09-07 11:43"
E650,,VEG,"7680 MONTEREY ST",Gilroy,"2024-09-11 11:44"
E47,"7070 CHESTNUT ST, GILROY, CA, 95020",TESTF,"7070 CHESTNUT ST",Gilroy,"2024-10-04 21:58"
"E2614, E47","930 LOS ARBOLES LN, GILROY, CA, 95020",1056AF,"930 LOS ARBOLES LN",Gilroy,"2025-06-16 23:15"
"E47, E50, E48","7121 MONTEREY ST, GILROY, CA, 95020",MEDICF,"7121 MONTEREY ST",Gilroy,"2026-02-17 19:22"
E48,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-11-24 02:46"
E48,,MEDICF,"350 MANTELLI DR",Gilroy,"2026-03-17 17:21"
E48,"780 WELBURN AVE, GILROY, CA, 95020",MEDICF,"780 WELBURN AV",Gilroy,"2025-06-30 09:09"
E50,"5422 MESA RD, GILROY, CA, 95020",MEDICF,"5422 MESA RD",Gilroy,"2026-01-17 20:25"
E48,"415 LONDON DR, GILROY, CA, 95020",MEDICF,"415 LONDON DR",Gilroy,"2026-02-27 12:03"
E147,,FIREHF,"SARAFINA WY/FOREST ST",Gilroy,"2025-09-08 14:52"
E49,,AUTOAVA,"10255 CENTER AV","Santa Clara County","2025-03-20 20:27"
E49,"8987 CHURCH ST, GILROY, CA, 95020",MEDICF,"8987 CHURCH ST",Gilroy,"2024-07-15 19:33"
E47,"8282 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8282 MURRAY AV",Gilroy,"2026-05-24 21:19"
E47,"500 IOOF AVE, GILROY, CA, 95020",MEDICF,"500 IOOF AV",Gilroy,"2026-03-18 00:57"
E49,"9333 BENBOW DR, GILROY, CA, 95020",1033SD,"9333 BENBOW DR",Gilroy,"2026-05-18 21:42"
"E49, E2614","7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2025-06-17 05:02"
E48,"7936 WESTWOOD DR, GILROY, CA, 95020",1033SD,"7936 WESTWOOD DR",Gilroy,"2025-03-20 21:27"
"B47, E47",,AUTOAVA,"US HWY 101/HWY 25","Santa Clara County","2025-06-28 01:58"
E47,"6500 MONTEREY RD, GILROY, CA, 95020",MEDICF,"6500 MONTEREY RD",Gilroy,"2025-08-31 03:05"
"B50, E47, E49, B67, E69, E48",,1033GF,"1055 MONTE BELLO DR",Gilroy,"2025-02-20 07:07"
E48,,MEDICF,"FIRST ST/WREN AV",Gilroy,"2025-11-22 20:27"
"E47, E48","450 LEAVESLEY RD, GILROY, CA, 95020",MEDICF,"450 LEAVESLEY RD",Gilroy,"2025-03-20 22:25"
"E47, E50",,1180F,"800 W SIXTH ST",Gilroy,"2025-11-12 20:18"
E48,"8800 LILLY AVE, GILROY, CA, 95020",MEDICF,"8800 LILLY AV",Gilroy,"2025-11-03 21:30"
"E47, E48","6580 EAGLE RIDGE CT, GILROY, CA, 95020",MEDICF,"6580 EAGLE RIDGE CT",Gilroy,"2025-03-07 16:24"
E47,"7370 CHURCH ST, GILROY, CA, 95020",1056AF,"7370 CHURCH ST",Gilroy,"2024-08-27 20:11"
E48,,MEDICF,"THIRD ST/MONTEREY ST",Gilroy,"2024-09-11 12:59"
E48,"8282 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8282 MURRAY AV",Gilroy,"2026-03-10 21:09"
E48,"8400 CHURCH ST, GILROY, CA, 95020",MEDICF,"8400 CHURCH ST",Gilroy,"2025-09-08 15:06"
"E47, E50",,1180F,"MONTEREY RD/W LUCHESSA AV",Gilroy,"2025-10-10 22:51"
E47,,MEDICF,"CHESTNUT ST/E TENTH ST",Gilroy,"2026-05-20 11:23"
"E48, RM49","6620 THAMES DR, GILROY, CA, 95020",MEDICF,"6620 THAMES DR",Gilroy,"2026-01-23 11:16"
"E48, E50",,MEDICF,"550 E EIGHTH ST",Gilroy,"2025-10-10 22:56"
E49,"10085 DEVRIES CT, GILROY, CA, 95020",AUTOAM,"10085 DEVRIES CT","Santa Clara County","2025-09-16 12:50"
E48,,MEDICF,"190 LEAVESLEY RD",Gilroy,"2024-10-18 15:23"
E49,"8288 DELTA DR, GILROY, CA, 95020",1033SD,"8288 DELTA DR",Gilroy,"2024-10-03 16:14"
,"7000 KIRIGIN WAY, GILROY, CA, 95020",MEDIC,"7000 KIRIGIN WY",Gilroy,"2024-10-31 06:08"
E47,"7931 MILLER AVE, GILROY, CA, 95020",MEDICF,"7931 MILLER AV",Gilroy,"2025-02-20 17:35"
E48,"8170 SWANSTON LN, GILROY, CA, 95020",MEDICF,"8170 SWANSTON LN",Gilroy,"2025-02-20 17:15"
E47,,MEDICF,"MONTEREY ST/FIFTH ST",Gilroy,"2024-10-18 15:44"
E48,"7360 CHESTNUT ST, GILROY, CA, 95020",MEDICF,"7360 CHESTNUT ST",Gilroy,"2026-06-20 21:07"
